stem,word_m,lang_GT_API,stopword,remove?,remove_class
día,día,es,False,True,non_en
pido,pido,es,False,True,non_en
hatr,hatred,en,False,False,
pide,pide,es,False,True,non_en
yellow,yellow,en,False,False,
four,four,en,False,False,
sleev,sleeve,en,False,False,
sleep,sleep,en,False,False,
thirst,thirst,en,False,False,
upsid,upside,en,False,False,
captain,captain,en,False,False,
hate,hate,en,False,False,
yonder,yonder,en,False,False,
villag,village,en,False,False,
request,request,en,False,False,
otro,otro,es,True,True,non_en
whose,whose,en,False,False,
accus,accused,en,False,False,
pardon,pardon,en,False,False,
auf,auf,de,True,True,non_en
spin,spinning,en,False,False,
sorri,sorry,en,False,False,
sweetest,sweetest,en,False,False,
otra,otra,es,True,True,non_en
igual,igual,es,False,True,non_en
aus,aus,de,True,True,non_en
concret,concrete,en,False,False,
certain,certain,en,False,False,
buddi,buddy,en,False,False,
daze,daze,en,False,False,
under,under,en,True,True,nltk_sw
tai,tai,fi,True,True,non_en
lord,lord,en,False,False,
pride,pride,en,False,False,
sway,sway,en,False,False,
worth,worth,en,False,False,
lonesom,lonesome,en,False,False,
digit,digital,en,False,False,
callin,callin',en,False,False,
everi,every,en,False,False,
risk,risk,en,False,False,
neue,neue,de,False,True,non_en
void,void,en,False,False,
rise,rise,en,False,False,
lurk,lurking,en,False,False,
voic,voice,en,False,False,
distort,distorted,en,False,False,
risa,risa,es,False,True,non_en
olvidart,olvidarte,es,False,True,non_en
smack,smack,en,False,False,
georgia,georgia,en,False,False,
jack,jack,en,False,False,
voix,voix,fr,False,True,non_en
govern,government,en,False,False,
affect,affection,en,False,False,
voit,voit,fi,False,True,non_en
ala,alas,en,False,False,
voir,voir,fr,False,True,non_en
vast,vast,en,False,False,
elvi,elvis,en,False,False,
school,school,en,False,False,
prize,prize,en,False,False,
daydream,daydream,en,False,False,
wooden,wooden,en,False,False,
ref,ref:,en,False,True,sign
factori,factory,en,False,False,
oooo,oooo,bg,,True,non_en
haben,haben,de,True,True,non_en
nacht,nacht,de,False,True,non_en
oooh,oooh,en,False,False,
niño,niño,es,False,True,non_en
venus,venus,en,False,False,
blick,blick,de,False,True,non_en
upp,upp,sv,True,True,non_en
hora,hora,es,False,True,non_en
chew,chew,en,False,False,
fuera,fuera,es,True,True,non_en
again,again,en,True,True,nltk_sw
naiv,naive,en,False,False,
chez,chez,fr,False,True,non_en
direct,direction,en,False,False,
horn,horn,en,False,False,
nail,nails,en,False,False,
consequ,consequence,en,False,False,
second,second,en,False,False,
street,street,en,False,False,
sooth,soothe,en,False,False,
olvida,olvida,es,False,True,non_en
fuert,fuerte,es,False,True,non_en
n,n,,,True,letter
illumin,illuminate,en,False,False,
even,even,en,False,False,
nel,nel,it,True,True,non_en
nem,nem,hu,True,True,non_en
hide,hide,en,False,False,
christ,christ,en,False,False,
wreck,wreck,en,False,False,
thunder,thunder,en,False,False,
amus,amused,en,False,False,
asid,aside,en,False,False,
lightn,lightning,en,False,False,
poison,poison,en,False,False,
muer,muere,es,False,True,non_en
kun,kun,fi,True,True,non_en
haze,haze,en,False,False,
fuerza,fuerza,es,False,True,non_en
toll,toll,en,False,False,
upset,upset,en,False,False,
new,new,en,False,False,
net,net,en,False,False,
ever,ever,en,False,False,
liberti,liberty,en,False,False,
told,told,en,False,False,
med,med,sv,True,True,non_en
meg,meg,hu,True,True,non_en
manipul,manipulate,en,False,False,
hero,hero,en,False,False,
sobr,sobre,es,True,True,non_en
oscuridad,oscuridad,es,False,True,non_en
così,così,it,False,True,non_en
never,never,en,False,False,
here,here,en,True,True,nltk_sw
meu,meu,pt,True,True,non_en
met,met,nl,True,True,non_en
jaurai,j'aurais,fr,False,True,non_en
nicht,nicht,de,True,True,non_en
china,china,en,False,False,
smokin,smokin',en,False,False,
mes,mes,fr,True,True,non_en
mer,mer,sv,False,True,non_en
path,path,en,False,False,
100,100,en,False,True,numeric
pleasur,pleasure,en,False,False,
half,half,en,False,False,
gli,gli,it,True,True,non_en
tant,tant,fr,False,True,non_en
daughter,daughter,en,False,False,
ska,ska,sv,False,True,non_en
anymor,anymore,en,False,False,
robin,robin,en,False,False,
dri,dry,en,False,False,
jame,james,en,False,False,
resto,resto,es,False,True,non_en
cradl,cradle,en,False,False,
smoke,smoke,en,False,False,
zombi,zombie,en,False,False,
studi,study,en,False,False,
fui,fui,pt,True,True,non_en
counti,county,en,False,False,
golden,golden,en,False,False,
stray,stray,en,False,False,
ecstasi,ecstasy,en,False,False,
também,também,pt,True,True,non_en
solament,solamente,es,False,True,non_en
tempt,tempted,en,False,False,
seven,seven,en,False,False,
strap,strapped,en,False,False,
brought,brought,en,False,False,
qui,qui,fr,True,True,non_en
attitud,attitude,en,False,False,
toujour,toujours,fr,False,True,non_en
moral,moral,en,False,False,
hollow,hollow,en,False,False,
outra,outra,pt,False,True,non_en
stern,stern,en,False,False,
hablar,hablar,es,False,True,non_en
total,total,en,False,False,
unit,united,en,False,False,
plot,plot,en,False,False,
symphoni,symphony,en,False,False,
spoke,spoke,en,False,False,
would,would,en,False,False,
