stem	word_m	lang_GT_API	stopword	remove?	index
hatr	hatred	en	False	False	
yellow	yellow	en	False	False	
four	four	en	False	False	
sleev	sleeve	en	False	False	
sleep	sleep	en	False	False	
thirst	thirst	en	False	False	
upsid	upside	en	False	False	
captain	captain	en	False	False	
hate	hate	en	False	False	
yonder	yonder	en	False	False	
villag	village	en	False	False	
request	request	en	False	False	
whose	whose	en	False	False	
accus	accused	en	False	False	
pardon	pardon	en	False	False	
spin	spinning	en	False	False	
sorri	sorry	en	False	False	
sweetest	sweetest	en	False	False	
concret	concrete	en	False	False	
certain	certain	en	False	False	
buddi	buddy	en	False	False	
daze	daze	en	False	False	
lord	lord	en	False	False	
pride	pride	en	False	False	
sway	sway	en	False	False	
worth	worth	en	False	False	
lonesom	lonesome	en	False	False	
digit	digital	en	False	False	
callin	callin'	en	False	False	
everi	every	en	False	False	
risk	risk	en	False	False	
void	void	en	False	False	
rise	rise	en	False	False	
lurk	lurking	en	False	False	
voic	voice	en	False	False	
distort	distorted	en	False	False	
smack	smack	en	False	False	
georgia	georgia	en	False	False	
jack	jack	en	False	False	
govern	government	en	False	False	
affect	affection	en	False	False	
ala	alas	en	False	False	
vast	vast	en	False	False	
elvi	elvis	en	False	False	
school	school	en	False	False	
prize	prize	en	False	False	
daydream	daydream	en	False	False	
wooden	wooden	en	False	False	
ref	ref:	en	False	False	
factori	factory	en	False	False	
oooh	oooh	en	False	False	
venus	venus	en	False	False	
chew	chew	en	False	False	
naiv	naive	en	False	False	
direct	direction	en	False	False	
horn	horn	en	False	False	
nail	nails	en	False	False	
consequ	consequence	en	False	False	
second	second	en	False	False	
street	street	en	False	False	
sooth	soothe	en	False	False	
illumin	illuminate	en	False	False	
even	even	en	False	False	
hide	hide	en	False	False	
christ	christ	en	False	False	
wreck	wreck	en	False	False	
thunder	thunder	en	False	False	
amus	amused	en	False	False	
asid	aside	en	False	False	
lightn	lightning	en	False	False	
poison	poison	en	False	False	
haze	haze	en	False	False	
toll	toll	en	False	False	
upset	upset	en	False	False	
new	new	en	False	False	
net	net	en	False	False	
ever	ever	en	False	False	
liberti	liberty	en	False	False	
told	told	en	False	False	
manipul	manipulate	en	False	False	
hero	hero	en	False	False	
never	never	en	False	False	
china	china	en	False	False	
smokin	smokin'	en	False	False	
path	path	en	False	False	
pleasur	pleasure	en	False	False	
half	half	en	False	False	
daughter	daughter	en	False	False	
anymor	anymore	en	False	False	
robin	robin	en	False	False	
dri	dry	en	False	False	
jame	james	en	False	False	
cradl	cradle	en	False	False	
smoke	smoke	en	False	False	
zombi	zombie	en	False	False	
studi	study	en	False	False	
counti	county	en	False	False	
golden	golden	en	False	False	
stray	stray	en	False	False	
ecstasi	ecstasy	en	False	False	
tempt	tempted	en	False	False	
seven	seven	en	False	False	
strap	strapped	en	False	False	
brought	brought	en	False	False	
attitud	attitude	en	False	False	
moral	moral	en	False	False	
hollow	hollow	en	False	False	
stern	stern	en	False	False	
total	total	en	False	False	
unit	united	en	False	False	
plot	plot	en	False	False	
symphoni	symphony	en	False	False	
spoke	spoke	en	False	False	
would	would	en	False	False	
nine	nine	en	False	False	
princess	princess	en	False	False	
bike	bike	en	False	False	
music	music	en	False	False	
calm	calm	en	False	False	
armi	army	en	False	False	
strike	strike	en	False	False	
torment	torment	en	False	False	
tryin	tryin'	en	False	False	
type	type	en	False	False	
tell	tell	en	False	False	
griev	grieve	en	False	False	
relax	relax	en	False	False	
relat	relate	en	False	False	
notic	notice	en	False	False	
hurt	hurt	en	False	False	
warn	warning	en	False	False	
phone	phone	en	False	False	
warm	warm	en	False	False	
holi	holy	en	False	False	
hole	hole	en	False	False	
dot	dot	en	False	False	
must	must	en	False	False	
accid	accident	en	False	False	
room	room	en	False	False	
work	work	en	False	False	
cant	cant	en	False	False	
roof	roof	en	False	False	
wors	worse	en	False	False	
sweeter	sweeter	en	False	False	
mr	mr.	en	False	False	
it´	it´s	en	False	False	
serpent	serpent	en	False	False	
give	give	en	False	False	
honey	honey	en	False	False	
mornin	mornin'	en	False	False	
want	want	en	False	False	
attract	attraction	en	False	False	
end	end	en	False	False	
solitud	solitude	en	False	False	
thing	things	en	False	False	
polic	police	en	False	False	
travel	travel	en	False	False	
hot	hot	en	False	False	
confin	confined	en	False	False	
hop	hop	en	False	False	
rewind	rewind	en	False	False	
answer	answer	en	False	False	
gate	gates	en	False	False	
beach	beach	en	False	False	
fever	fever	en	False	False	
recogn	recognize	en	False	False	
mess	mess	en	False	False	
cadillac	cadillac	en	False	False	
ladder	ladder	en	False	False	
vicious	vicious	en	False	False	
wrong	wrong	en	False	False	
lay	lay	en	False	False	
beauti	beautiful	en	False	False	
law	law	en	False	False	
lap	lap	en	False	False	
domin	domination	en	False	False	
third	third	en	False	False	
greet	greet	en	False	False	
imposs	impossible	en	False	False	
wink	wink	en	False	False	
green	green	en	False	False	
enter	enter	en	False	False	
plagu	plague	en	False	False	
worst	worst	en	False	False	
wing	wings	en	False	False	
wind	wind	en	False	False	
wine	wine	en	False	False	
origin	original	en	False	False	
deck	deck	en	False	False	
crumbl	crumble	en	False	False	
failur	failure	en	False	False	
orang	orange	en	False	False	
surrend	surrender	en	False	False	
