stem	word_m	lang_GT_API
día	día	es
pido	pido	es
hatr	hatred	en
pide	pide	es
yellow	yellow	en
four	four	en
sleev	sleeve	en
sleep	sleep	en
thirst	thirst	en
upsid	upside	en
captain	captain	en
hate	hate	en
yonder	yonder	en
villag	village	en
request	request	en
otro	otro	es
whose	whose	en
accus	accused	en
pardon	pardon	en
auf	auf	de
spin	spinning	en
sorri	sorry	en
sweetest	sweetest	en
otra	otra	es
igual	igual	es
aus	aus	de
concret	concrete	en
certain	certain	en
buddi	buddy	en
daze	daze	en
under	under	en
tai	tai	fi
lord	lord	en
pride	pride	en
sway	sway	en
worth	worth	en
lonesom	lonesome	en
digit	digital	en
callin	callin'	en
everi	every	en
risk	risk	en
neue	neue	de
void	void	en
rise	rise	en
lurk	lurking	en
voic	voice	en
distort	distorted	en
risa	risa	es
olvidart	olvidarte	es
smack	smack	en
georgia	georgia	en
jack	jack	en
voix	voix	fr
govern	government	en
affect	affection	en
voit	voit	fi
ala	alas	en
voir	voir	fr
vast	vast	en
elvi	elvis	en
school	school	en
prize	prize	en
daydream	daydream	en
wooden	wooden	en
ref	ref:	en
factori	factory	en
oooo	oooo	bg
haben	haben	de
nacht	nacht	de
oooh	oooh	en
niño	niño	es
venus	venus	en
blick	blick	de
upp	upp	sv
hora	hora	es
chew	chew	en
fuera	fuera	es
again	again	en
naiv	naive	en
chez	chez	fr
direct	direction	en
horn	horn	en
nail	nails	en
consequ	consequence	en
second	second	en
street	street	en
sooth	soothe	en
olvida	olvida	es
fuert	fuerte	es
n	n	
illumin	illuminate	en
even	even	en
nel	nel	it
nem	nem	hu
hide	hide	en
christ	christ	en
wreck	wreck	en
thunder	thunder	en
amus	amused	en
asid	aside	en
lightn	lightning	en
poison	poison	en
muer	muere	es
kun	kun	fi
haze	haze	en
fuerza	fuerza	es
toll	toll	en
upset	upset	en
new	new	en
net	net	en
ever	ever	en
liberti	liberty	en
told	told	en
med	med	sv
meg	meg	hu
manipul	manipulate	en
hero	hero	en
sobr	sobre	es
oscuridad	oscuridad	es
così	così	it
never	never	en
here	here	en
meu	meu	pt
met	met	nl
jaurai	j'aurais	fr
nicht	nicht	de
china	china	en
smokin	smokin'	en
mes	mes	fr
mer	mer	sv
path	path	en
100	100	en
pleasur	pleasure	en
half	half	en
