stem,word_m,lang_GT_API,stopword,remove?,remove_class,pos
hatr,hatred,en,False,False,,n.
yellow,yellow,en,False,False,,adj.
four,four,en,False,False,,n.
sleev,sleeve,en,False,False,,n.
sleep,sleep,en,False,False,,n.
thirst,thirst,en,False,False,,n.
upsid,upside,en,False,False,,adj.
captain,captain,en,False,False,,n.
hate,hate,en,False,False,,v.
yonder,yonder,en,False,False,,n.
villag,village,en,False,False,,n.
request,request,en,False,False,,n.
whose,whose,en,False,False,,
accus,accused,en,False,False,,v.
pardon,pardon,en,False,False,,n.
spin,spinning,en,False,False,,v.
sorri,sorry,en,False,False,,adj.
sweetest,sweetest,en,False,False,,n.
concret,concrete,en,False,False,,n.
certain,certain,en,False,False,,adj.
buddi,buddy,en,False,False,,n.
daze,daze,en,False,False,,n.
under,under,en,True,True,nltk_sw,
lord,lord,en,False,False,,n.
pride,pride,en,False,False,,n.
sway,sway,en,False,False,,v.
worth,worth,en,False,False,,adj.
lonesom,lonesome,en,False,False,,n.
digit,digital,en,False,False,,n.
callin,calling,en,False,False,,v.
everi,every,en,False,False,,
risk,risk,en,False,False,,n.
void,void,en,False,False,,adj.
rise,rise,en,False,False,,v.
lurk,lurking,en,False,False,,v.
voic,voice,en,False,False,,n.
distort,distorted,en,False,False,,v.
smack,smack,en,False,False,,n.
georgia,georgia,en,False,False,,n.
jack,jack,en,False,False,,n.
govern,government,en,False,False,,n.
affect,affection,en,False,False,,n.
ala,alas,en,False,False,,
vast,vast,en,False,False,,adj.
elvi,elvis,en,False,False,,n.
school,school,en,False,False,,n.
prize,prize,en,False,False,,n.
daydream,daydream,en,False,False,,n.
wooden,wooden,en,False,False,,adj.
factori,factory,en,False,False,,n.
oooh,oooh,en,False,False,,adv.
venus,venus,en,False,False,,n.
chew,chew,en,False,False,,v.
again,again,en,True,True,nltk_sw,adv.
naiv,naive,en,False,False,,adj.
direct,direction,en,False,False,,n.
horn,horn,en,False,False,,n.
nail,nails,en,False,False,,v.
consequ,consequence,en,False,False,,n.
second,second,en,False,False,,adj.
street,street,en,False,False,,n.
sooth,soothe,en,False,False,,n.
illumin,illuminate,en,False,False,,v.
even,even,en,False,False,,adv.
hide,hide,en,False,False,,v.
christ,christ,en,False,False,,n.
wreck,wreck,en,False,False,,n.
thunder,thunder,en,False,False,,n.
amus,amused,en,False,False,,v.
asid,aside,en,False,False,,adv.
lightn,lightning,en,False,False,,n.
poison,poison,en,False,False,,n.
haze,haze,en,False,False,,n.
toll,toll,en,False,False,,n.
upset,upset,en,False,False,,v.
new,new,en,False,False,,n.
net,net,en,False,False,,n.
ever,ever,en,False,False,,adv.
liberti,liberty,en,False,False,,n.
told,told,en,False,False,,v.
manipul,manipulate,en,False,False,,v.
hero,hero,en,False,False,,n.
never,never,en,False,False,,adv.
here,here,en,True,True,nltk_sw,adv.
china,china,en,False,False,,n.
smokin,smoking,en,False,False,,n.
path,path,en,False,False,,n.
pleasur,pleasure,en,False,False,,n.
half,half,en,False,False,,n.
daughter,daughter,en,False,False,,n.
anymor,anymore,en,False,False,,adv.
robin,robin,en,False,False,,n.
dri,dry,en,False,False,,adj.
jame,james,en,False,False,,n.
cradl,cradle,en,False,False,,n.
smoke,smoke,en,False,False,,n.
zombi,zombie,en,False,False,,n.
studi,study,en,False,False,,n.
counti,county,en,False,False,,n.
golden,golden,en,False,False,,n.
stray,stray,en,False,False,,n.
ecstasi,ecstasy,en,False,False,,n.
tempt,tempted,en,False,False,,v.
seven,seven,en,False,False,,n.
strap,strapped,en,False,False,,v.
brought,brought,en,False,False,,v.
attitud,attitude,en,False,False,,n.
moral,moral,en,False,False,,adj.
hollow,hollow,en,False,False,,n.
stern,stern,en,False,False,,n.
total,total,en,False,False,,n.
unit,united,en,False,False,,n.
plot,plot,en,False,False,,n.
symphoni,symphony,en,False,False,,n.
spoke,spoke,en,False,False,,v.
would,would,en,False,False,,v.
nine,nine,en,False,False,,n.
princess,princess,en,False,False,,n.
bike,bike,en,False,False,,n.
music,music,en,False,False,,n.
calm,calm,en,False,False,,n.
armi,army,en,False,False,,n.
strike,strike,en,False,False,,n.
torment,torment,en,False,False,,n.
tryin,tryin,en,False,False,,n.
type,type,en,False,False,,n.
tell,tell,en,False,False,,v.
griev,grieve,en,False,False,,n.
relax,relax,en,False,False,,v.
relat,relate,en,False,False,,v.
notic,notice,en,False,False,,n.
hurt,hurt,en,False,False,,v.
warn,warning,en,False,False,,v.
phone,phone,en,False,False,,n.
warm,warm,en,False,False,,adj.
holi,holy,en,False,False,,n.
hole,hole,en,False,False,,n.
dot,dot,en,False,False,,n.
must,must,en,False,False,,v.
me,me,en,,True,nltk_sw,
accid,accident,en,False,False,,n.
room,room,en,False,False,,n.
work,work,en,False,False,,n.
cant,cant,en,False,False,,
roof,roof,en,False,False,,n.
wors,worse,en,False,False,,adj.
sweeter,sweeter,en,False,False,,n.
mr,mr.,en,False,False,,
my,my,en,,True,nltk_sw,
it´,it´s,en,False,False,,n.
serpent,serpent,en,False,False,,n.
give,give,en,False,False,,v.
honey,honey,en,False,False,,n.
mornin,morning,en,False,False,,n.
want,want,en,False,False,,v.
attract,attraction,en,False,False,,n.
end,end,en,False,False,,n.
solitud,solitude,en,False,False,,n.
thing,things,en,False,False,,n.
polic,police,en,False,False,,n.
travel,travel,en,False,False,,n.
how,how,en,True,True,nltk_sw,adv.
hot,hot,en,False,False,,adj.
confin,confined,en,False,False,,v.
hop,hop,en,False,False,,n.
rewind,rewind,en,False,False,,n.
answer,answer,en,False,False,,n.
gate,gates,en,False,False,,n.
beach,beach,en,False,False,,n.
fever,fever,en,False,False,,n.
recogn,recognize,en,False,False,,v.
mess,mess,en,False,False,,n.
cadillac,cadillac,en,False,False,,n.
ladder,ladder,en,False,False,,n.
after,after,en,True,True,nltk_sw,
vicious,vicious,en,False,False,,adj.
befor,before,en,True,True,nltk_sw,
wrong,wrong,en,False,False,,adj.
lay,lay,en,False,False,,v.
beauti,beautiful,en,False,False,,adj.
law,law,en,False,False,,n.
lap,lap,en,False,False,,n.
domin,domination,en,False,False,,n.
third,third,en,False,False,,adj.
greet,greet,en,False,False,,n.
imposs,impossible,en,False,False,,adj.
wink,wink,en,False,False,,n.
green,green,en,False,False,,n.
enter,enter,en,False,False,,v.
plagu,plague,en,False,False,,n.
worst,worst,en,False,False,,adj.
wing,wings,en,False,False,,n.
wind,wind,en,False,False,,n.
wine,wine,en,False,False,,n.
