stem	word_m	lang_GT_API	stopword
día	día	es	False
pido	pido	es	False
hatr	hatred	en	False
pide	pide	es	False
yellow	yellow	en	False
four	four	en	False
sleev	sleeve	en	False
sleep	sleep	en	False
thirst	thirst	en	False
upsid	upside	en	False
captain	captain	en	False
hate	hate	en	False
yonder	yonder	en	False
villag	village	en	False
request	request	en	False
otro	otro	es	True
whose	whose	en	False
accus	accused	en	False
pardon	pardon	en	False
auf	auf	de	True
spin	spinning	en	False
sorri	sorry	en	False
sweetest	sweetest	en	False
otra	otra	es	True
igual	igual	es	False
aus	aus	de	True
concret	concrete	en	False
certain	certain	en	False
buddi	buddy	en	False
daze	daze	en	False
under	under	en	True
tai	tai	fi	True
lord	lord	en	False
pride	pride	en	False
sway	sway	en	False
worth	worth	en	False
lonesom	lonesome	en	False
digit	digital	en	False
callin	callin'	en	False
everi	every	en	False
risk	risk	en	False
neue	neue	de	False
void	void	en	False
rise	rise	en	False
lurk	lurking	en	False
voic	voice	en	False
distort	distorted	en	False
risa	risa	es	False
olvidart	olvidarte	es	False
smack	smack	en	False
georgia	georgia	en	False
jack	jack	en	False
voix	voix	fr	False
govern	government	en	False
affect	affection	en	False
voit	voit	fi	False
ala	alas	en	False
voir	voir	fr	False
vast	vast	en	False
elvi	elvis	en	False
school	school	en	False
prize	prize	en	False
daydream	daydream	en	False
wooden	wooden	en	False
ref	ref:	en	False
factori	factory	en	False
oooo	oooo	bg	
haben	haben	de	True
nacht	nacht	de	False
oooh	oooh	en	False
niño	niño	es	False
venus	venus	en	False
blick	blick	de	False
upp	upp	sv	True
hora	hora	es	False
chew	chew	en	False
fuera	fuera	es	True
again	again	en	True
naiv	naive	en	False
chez	chez	fr	False
direct	direction	en	False
horn	horn	en	False
nail	nails	en	False
consequ	consequence	en	False
second	second	en	False
street	street	en	False
sooth	soothe	en	False
olvida	olvida	es	False
fuert	fuerte	es	False
n	n		
illumin	illuminate	en	False
even	even	en	False
nel	nel	it	True
nem	nem	hu	True
hide	hide	en	False
christ	christ	en	False
wreck	wreck	en	False
thunder	thunder	en	False
amus	amused	en	False
asid	aside	en	False
lightn	lightning	en	False
poison	poison	en	False
muer	muere	es	False
kun	kun	fi	True
haze	haze	en	False
fuerza	fuerza	es	False
toll	toll	en	False
upset	upset	en	False
new	new	en	False
net	net	en	False
ever	ever	en	False
liberti	liberty	en	False
told	told	en	False
med	med	sv	True
meg	meg	hu	True
manipul	manipulate	en	False
hero	hero	en	False
sobr	sobre	es	True
oscuridad	oscuridad	es	False
così	così	it	False
never	never	en	False
here	here	en	True
meu	meu	pt	True
met	met	nl	True
jaurai	j'aurais	fr	False
nicht	nicht	de	True
china	china	en	False
smokin	smokin'	en	False
mes	mes	fr	True
mer	mer	sv	False
path	path	en	False
100	100	en	False
pleasur	pleasure	en	False
half	half	en	False
gli	gli	it	True
tant	tant	fr	False
daughter	daughter	en	False
ska	ska	sv	False
anymor	anymore	en	False
robin	robin	en	False
dri	dry	en	False
jame	james	en	False
resto	resto	es	False
cradl	cradle	en	False
smoke	smoke	en	False
zombi	zombie	en	False
studi	study	en	False
fui	fui	pt	True
counti	county	en	False
golden	golden	en	False
stray	stray	en	False
ecstasi	ecstasy	en	False
